NAME,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,SchDistNam,ESC_CITY,ESC_REGION
Argyle ISD,61910,061-910,61910,4808670,Argyle ISD,Fort Worth,11
Little Elm ISD,61914,061-914,61914,4827720,Little Elm ISD,Fort Worth,11
Huckabay ISD,72908,072-908,72908,4823760,Huckabay ISD,Fort Worth,11
Strawn ISD,182905,182-905,182905,4841700,Strawn ISD,Fort Worth,11
Denton ISD,61901,061-901,61901,4816740,Denton ISD,Fort Worth,11
Palo Pinto ISD,182906,182-906,182906,4834140,Palo Pinto ISD,Fort Worth,11
Lewisville ISD,61902,061-902,61902,4827300,Lewisville ISD,Fort Worth,11
Mineral Wells ISD,182903,182-903,182903,4830950,Mineral Wells ISD,Fort Worth,11
Millsap ISD,184904,184-904,184904,4830870,Millsap ISD,Fort Worth,11
Lingleville ISD,72909,072-909,72909,4827600,Lingleville ISD,Fort Worth,11
Cleburne ISD,126903,126-903,126903,4814310,Cleburne ISD,Fort Worth,11
Rio Vista ISD,126907,126-907,126907,4837200,Rio Vista ISD,Fort Worth,11
Grapevine-Colleyville ISD,220906,220-906,220906,4821660,Grapevine-Colleyville ISD,Fort Worth,11
Keene ISD,126906,126-906,126906,4825230,Keene ISD,Fort Worth,11
Joshua ISD,126905,126-905,126905,4824930,Joshua ISD,Fort Worth,11
Grandview ISD,126904,126-904,126904,4821540,Grandview ISD,Fort Worth,11
Granbury ISD,111901,111-901,111901,4821390,Granbury ISD,Fort Worth,11
Godley ISD,126911,126-911,126911,4820960,Godley ISD,Fort Worth,11
Alvarado ISD,126901,126-901,126901,4800011,Alvarado ISD,Fort Worth,11
Glen Rose ISD,213901,213-901,213901,4820850,Glen Rose ISD,Fort Worth,11
Bluff Dale ISD,72904,072-904,72904,4810620,Bluff Dale ISD,Fort Worth,11
White Settlement ISD,220920,220-920,220920,4845540,White Settlement ISD,Fort Worth,11
Lake Worth ISD,220910,220-910,220910,4826490,Lake Worth ISD,Fort Worth,11
Kennedale ISD,220914,220-914,220914,4825500,Kennedale ISD,Fort Worth,11
Keller ISD,220907,220-907,220907,4825260,Keller ISD,Fort Worth,11
Hurst-Euless-Bedford ISD,220916,220-916,220916,4824060,Hurst-Euless-Bedford ISD,Fort Worth,11
Everman ISD,220904,220-904,220904,4818810,Everman ISD,Fort Worth,11
Eagle Mountain-Saginaw ISD,220918,220-918,220918,4817700,Eagle Mountain-Saginaw ISD,Fort Worth,11
Castleberry ISD,220917,220-917,220917,4813170,Castleberry ISD,Fort Worth,11
Carroll ISD,220919,220-919,220919,4813020,Carroll ISD,Fort Worth,11
Arlington ISD,220901,220-901,220901,4808700,Arlington ISD,Fort Worth,11
Azle ISD,220915,220-915,220915,4809200,Azle ISD,Fort Worth,11
Northwest ISD,61911,061-911,61911,4833180,Northwest ISD,Fort Worth,11
Valley View ISD (Cooke),49903,049-903,49903,4843860,Valley View ISD (Cooke),Fort Worth,11
Lipan ISD,111902,111-902,111902,4827630,Lipan ISD,Fort Worth,11
Weatherford ISD,184903,184-903,184903,4844800,Weatherford ISD,Fort Worth,11
Brock ISD,184909,184-909,184909,4811460,Brock ISD,Fort Worth,11
Walnut Bend ISD,49908,049-908,49908,4844490,Walnut Bend ISD,Fort Worth,11
Callisburg ISD,49905,049-905,49905,4812510,Callisburg ISD,Fort Worth,11
Pilot Point ISD,61903,061-903,61903,4834920,Pilot Point ISD,Fort Worth,11
Temple ISD,14909,014-909,14909,4842330,Temple ISD,Waco,12
Corsicana ISD,175903,175-903,175903,4815330,Corsicana ISD,Waco,12
Chilton ISD,73901,073-901,73901,4813920,Chilton ISD,Waco,12
Frost ISD,175905,175-905,175905,4820040,Frost ISD,Waco,12
Lometa ISD,141902,141-902,141902,4827960,Lometa ISD,Waco,12
Meridian ISD,18902,018-902,18902,4830300,Meridian ISD,Waco,12
Clifton ISD,18901,018-901,18901,4814400,Clifton ISD,Waco,12
Goldthwaite Cons ISD,167901,167-901,167901,4821000,Goldthwaite Cons ISD,Waco,12
Iredell ISD,18906,018-906,18906,4824360,Iredell ISD,Waco,12
Cranfills Gap ISD,18908,018-908,18908,4815570,Cranfills Gap ISD,Waco,12
Westphalia ISD,73904,073-904,73904,4845330,Westphalia ISD,Waco,12
Robinson ISD,161922,161-922,161922,4837410,Robinson ISD,Waco,12
Jonesboro ISD,50909,050-909,50909,4824900,Jonesboro ISD,Waco,12
Riesel ISD,161912,161-912,161912,4837110,Riesel ISD,Waco,12
Evant ISD,50901,050-901,50901,4818780,Evant ISD,Waco,12
Mart ISD,161908,161-908,161908,4829190,Mart ISD,Waco,12
Hico ISD,97903,097-903,97903,4823070,Hico ISD,Waco,12
Marlin ISD,73903,073-903,73903,4829130,Marlin ISD,Waco,12
Hamilton ISD,97902,097-902,97902,4822230,Hamilton ISD,Waco,12
Lorena ISD,161907,161-907,161907,4828200,Lorena ISD,Waco,12
Groesbeck ISD,147902,147-902,147902,4821810,Groesbeck ISD,Waco,12
Waco ISD,161914,161-914,161914,4844280,Waco ISD,Waco,12
Coolidge ISD,147901,147-901,147901,4815120,Coolidge ISD,Waco,12
Midway ISD (McLennan),161903,161-903,161903,4830640,Midway ISD (McLennan),Waco,12
Mount Calm ISD,109910,109-910,109910,4831620,Mount Calm ISD,Waco,12
McGregor ISD,161909,161-909,161909,4829820,McGregor ISD,Waco,12
Hubbard ISD (Hill),109905,109-905,109905,4823730,Hubbard ISD (Hill),Waco,12
La Vega ISD,161906,161-906,161906,4826280,La Vega ISD,Waco,12
Axtell ISD,161918,161-918,161918,4809150,Axtell ISD,Waco,12
Hallsburg ISD,161924,161-924,161924,4822140,Hallsburg ISD,Waco,12
Connally ISD,161921,161-921,161921,4814970,Connally ISD,Waco,12
Bosqueville ISD,161923,161-923,161923,4810910,Bosqueville ISD,Waco,12
West ISD,161916,161-916,161916,4845040,West ISD,Waco,12
China Spring ISD,161920,161-920,161920,4813960,China Spring ISD,Waco,12
Valley Mills ISD,18904,018-904,18904,4843760,Valley Mills ISD,Waco,12
Oglesby ISD,50904,050-904,50904,4833420,Oglesby ISD,Waco,12
Crawford ISD,161901,161-901,161901,4815600,Crawford ISD,Waco,12
Salado ISD,14908,014-908,14908,4838580,Salado ISD,Waco,12
Rogers ISD,14907,014-907,14907,4837710,Rogers ISD,Waco,12
Holland ISD,14905,014-905,14905,4823370,Holland ISD,Waco,12
Belton ISD,14903,014-903,14903,4809860,Belton ISD,Waco,12
Academy ISD,14901,014-901,14901,4807470,Academy ISD,Waco,12
Bartlett ISD,14902,014-902,14902,4809540,Bartlett ISD,Waco,12
Troy ISD,14910,014-910,14910,4843260,Troy ISD,Waco,12
Rosebud-Lott ISD,73905,073-905,73905,4837900,Rosebud-Lott ISD,Waco,12
Bruceville-Eddy ISD,161919,161-919,161919,4811730,Bruceville-Eddy ISD,Waco,12
Moody ISD,161910,161-910,161910,4831290,Moody ISD,Waco,12
Rice ISD,175911,175-911,175911,4836960,Rice ISD,Waco,12
Lampasas ISD,141901,141-901,141901,4826640,Lampasas ISD,Waco,12
Mildred ISD,175910,175-910,175910,4830720,Mildred ISD,Waco,12
Killeen ISD,14906,014-906,14906,4825660,Killeen ISD,Waco,12
Kerens ISD,175907,175-907,175907,4825530,Kerens ISD,Waco,12
Gatesville ISD,50902,050-902,50902,4820500,Gatesville ISD,Waco,12
Blooming Grove ISD,175902,175-902,175902,4810470,Blooming Grove ISD,Waco,12
Copperas Cove ISD,50910,050-910,50910,4815240,Copperas Cove ISD,Waco,12
Dawson ISD (Navarro),175904,175-904,175904,4816380,Dawson ISD (Navarro),Waco,12
Bynum ISD,109902,109-902,109902,4812360,Bynum ISD,Waco,12
Whitney ISD,109911,109-911,109911,4845720,Whitney ISD,Waco,12
Penelope ISD,109914,109-914,109914,4834560,Penelope ISD,Waco,12
Dew ISD,81906,081-906,81906,4816980,Dew ISD,Waco,12
Malone ISD,109908,109-908,109908,4828800,Malone ISD,Waco,12
Kopperl ISD,18907,018-907,18907,4825890,Kopperl ISD,Waco,12
Wortham ISD,81905,081-905,81905,4846470,Wortham ISD,Waco,12
Itasca ISD,109907,109-907,109907,4824480,Itasca ISD,Waco,12
Teague ISD,81904,081-904,81904,4842300,Teague ISD,Waco,12
Gholson ISD,161925,161-925,161925,4820610,Gholson ISD,Waco,12
Hillsboro ISD,109904,109-904,109904,4823280,Hillsboro ISD,Waco,12
Covington ISD,109903,109-903,109903,4815480,Covington ISD,Waco,12
Mexia ISD,147903,147-903,147903,4830420,Mexia ISD,Waco,12
Fairfield ISD,81902,081-902,81902,4818940,Fairfield ISD,Waco,12
Blum ISD,109913,109-913,109913,4810650,Blum ISD,Waco,12
Aquilla ISD,109912,109-912,109912,4808520,Aquilla ISD,Waco,12
Abbott ISD,109901,109-901,109901,4807380,Abbott ISD,Waco,12
Priddy ISD,167904,167-904,167904,4835820,Priddy ISD,Waco,12
Mullin ISD,167902,167-902,167902,4831920,Mullin ISD,Waco,12
Walnut Springs ISD,18905,018-905,18905,4844520,Walnut Springs ISD,Waco,12
Morgan ISD,18903,018-903,18903,4831380,Morgan ISD,Waco,12
Round Rock ISD,246909,246-909,246909,4838080,Round Rock ISD,Austin,13
Georgetown ISD,246904,246-904,246904,4820600,Georgetown ISD,Austin,13
Manor ISD,227907,227-907,227907,4828890,Manor ISD,Austin,13
Coupland ISD,246914,246-914,246914,4815420,Coupland ISD,Austin,13
Schertz-Cibolo-Universal City ISD,94902,094-902,94902,4839480,Schertz-Cibolo-Universal City ISD,Austin,13
Comal ISD,46902,046-902,46902,4814730,Comal ISD,Austin,13
Comfort ISD,130902,130-902,130902,4814790,Comfort ISD,Austin,13
Dime Box ISD,144903,144-903,144903,4817130,Dime Box ISD,Austin,13
Nixon-Smiley Cons ISD,89903,089-903,89903,4832740,Nixon-Smiley Cons ISD,Austin,13
Waelder ISD,89905,089-905,89905,4844310,Waelder ISD,Austin,13
Gonzales ISD,89901,089-901,89901,4821060,Gonzales ISD,Austin,13
Prairie Lea ISD,28906,028-906,28906,4835700,Prairie Lea ISD,Austin,13
Luling ISD,28903,028-903,28903,4828590,Luling ISD,Austin,13
Bastrop ISD,11901,011-901,11901,4809570,Bastrop ISD,Austin,13
Smithville ISD,11904,011-904,11904,4840550,Smithville ISD,Austin,13
Hays Cons ISD,105906,105-906,105906,4800010,Hays Cons ISD,Austin,13
Del Valle ISD,227910,227-910,227910,4816620,Del Valle ISD,Austin,13
Wimberley ISD,105905,105-905,105905,4800009,Wimberley ISD,Austin,13
San Marcos Cons ISD,105902,105-902,105902,4838970,San Marcos Cons ISD,Austin,13
Lockhart ISD,28902,028-902,28902,4827870,Lockhart ISD,Austin,13
Thrall ISD,246912,246-912,246912,4842660,Thrall ISD,Austin,13
Thorndale ISD,166905,166-905,166905,4842630,Thorndale ISD,Austin,13
Taylor ISD,246911,246-911,246911,4842280,Taylor ISD,Austin,13
Liberty Hill ISD,246908,246-908,246908,4827420,Liberty Hill ISD,Austin,13
Jarrell ISD,246907,246-907,246907,4824600,Jarrell ISD,Austin,13
Granger ISD,246905,246-905,246905,4821590,Granger ISD,Austin,13
Florence ISD,246902,246-902,246902,4819320,Florence ISD,Austin,13
Pflugerville ISD,227904,227-904,227904,4834830,Pflugerville ISD,Austin,13
Hutto ISD,246906,246-906,246906,4824100,Hutto ISD,Austin,13
McDade ISD,11905,011-905,11905,4829760,McDade ISD,Austin,13
Eanes ISD,227909,227-909,227909,4817760,Eanes ISD,Austin,13
Austin ISD,227901,227-901,227901,4808940,Austin ISD,Austin,13
Dripping Springs ISD,105904,105-904,105904,4800008,Dripping Springs ISD,Austin,13
Marble Falls ISD,27904,027-904,27904,4829010,Marble Falls ISD,Austin,13
Leander ISD,246913,246-913,246913,4827030,Leander ISD,Austin,13
Lake Travis ISD,227913,227-913,227913,4826470,Lake Travis ISD,Austin,13
Lago Vista ISD,227912,227-912,227912,4826400,Lago Vista ISD,Austin,13
Llano ISD,150901,150-901,150901,4827810,Llano ISD,Austin,13
Burnet Cons ISD,27903,027-903,27903,4812220,Burnet Cons ISD,Austin,13
Johnson City ISD,16901,016-901,16901,4824840,Johnson City ISD,Austin,13
Doss Cons CSD,86024,086-024,86024,4817400,Doss Cons CSD,Austin,13
Harper ISD,86902,086-902,86902,4822590,Harper ISD,Austin,13
Seguin ISD,94901,094-901,94901,4839690,Seguin ISD,Austin,13
Navarro ISD,94903,094-903,94903,4832160,Navarro ISD,Austin,13
Marion ISD,94904,094-904,94904,4829100,Marion ISD,Austin,13
New Braunfels ISD,46901,046-901,46901,4832370,New Braunfels ISD,Austin,13
Schulenburg ISD,75903,075-903,75903,4839540,Schulenburg ISD,Austin,13
Round Top-Carmine ISD,75908,075-908,75908,4838100,Round Top-Carmine ISD,Austin,13
La Grange ISD,75902,075-902,75902,4826100,La Grange ISD,Austin,13
Giddings ISD,144901,144-901,144901,4820640,Giddings ISD,Austin,13
Flatonia ISD,75901,075-901,75901,4819280,Flatonia ISD,Austin,13
Fayetteville ISD,75906,075-906,75906,4819140,Fayetteville ISD,Austin,13
Lexington ISD,144902,144-902,144902,4827330,Lexington ISD,Austin,13
Elgin ISD,11902,011-902,11902,4818360,Elgin ISD,Austin,13
Fredericksburg ISD,86901,086-901,86901,4819840,Fredericksburg ISD,Austin,13
Blanco ISD,16902,016-902,16902,4810320,Blanco ISD,Austin,13
Cisco ISD,67902,067-902,67902,4814070,Cisco ISD,Abilene,14
Baird ISD,30903,030-903,30903,4809280,Baird ISD,Abilene,14
Eula ISD,30906,030-906,30906,4818690,Eula ISD,Abilene,14
Stamford ISD,127906,127-906,127906,4841400,Stamford ISD,Abilene,14
Paint Creek ISD,104907,104-907,104907,4833960,Paint Creek ISD,Abilene,14
Merkel ISD,221904,221-904,221904,4830340,Merkel ISD,Abilene,14
Hawley ISD,127904,127-904,127904,4822800,Hawley ISD,Abilene,14
Anson ISD,127901,127-901,127901,4808400,Anson ISD,Abilene,14
Abilene ISD,221901,221-901,221901,4807440,Abilene ISD,Abilene,14
Trent ISD,221905,221-905,221905,4843110,Trent ISD,Abilene,14
Roby Cons ISD,76903,076-903,76903,4837470,Roby Cons ISD,Abilene,14
Hamlin ISD,127903,127-903,127903,4822260,Hamlin ISD,Abilene,14
Lueders-Avoca ISD,127905,127-905,127905,4828530,Lueders-Avoca ISD,Abilene,14
Clyde Cons ISD,30902,030-902,30902,4814450,Clyde Cons ISD,Abilene,14
Moran ISD,209902,209-902,209902,4831320,Moran ISD,Abilene,14
Jim Ned Cons ISD,221911,221-911,221911,4824780,Jim Ned Cons ISD,Abilene,14
Albany ISD,209901,209-901,209901,4807680,Albany ISD,Abilene,14
Breckenridge ISD,215901,215-901,215901,4811220,Breckenridge ISD,Abilene,14
Westbrook ISD,168903,168-903,168903,4845210,Westbrook ISD,Abilene,14
Loraine ISD,168902,168-902,168902,4828170,Loraine ISD,Abilene,14
Ira ISD,208903,208-903,208903,4824300,Ira ISD,Abilene,14
Colorado ISD,168901,168-901,168901,4814640,Colorado ISD,Abilene,14
Sweetwater ISD,177902,177-902,177902,4842030,Sweetwater ISD,Abilene,14
Rotan ISD,76904,076-904,76904,4838040,Rotan ISD,Abilene,14
Roscoe Collegiate ISD,177901,177-901,177901,4837860,Roscoe Collegiate ISD,Abilene,14
Hermleigh ISD,208901,208-901,208901,4823040,Hermleigh ISD,Abilene,14
Wylie ISD (Taylor),221912,221-912,221912,4846500,Wylie ISD (Taylor),Abilene,14
Ranger ISD,67907,067-907,67907,4836480,Ranger ISD,Abilene,14
Highland ISD,177905,177-905,177905,4823190,Highland ISD,Abilene,14
Eastland ISD,67903,067-903,67903,4817960,Eastland ISD,Abilene,14
Cross Plains ISD,30901,030-901,30901,4815810,Cross Plains ISD,Abilene,14
Rising Star ISD,67908,067-908,67908,4837230,Rising Star ISD,Abilene,14
Gorman ISD,67904,067-904,67904,4821270,Gorman ISD,Abilene,14
De Leon ISD,47902,047-902,47902,4816440,De Leon ISD,Abilene,14
Snyder ISD,208902,208-902,208902,4840650,Snyder ISD,Abilene,14
Sidney ISD,47905,047-905,47905,4840170,Sidney ISD,Abilene,14
Gustine ISD,47903,047-903,47903,4821990,Gustine ISD,Abilene,14
Comanche ISD,47901,047-901,47901,4814760,Comanche ISD,Abilene,14
Blackwell Cons ISD,177903,177-903,177903,4800005,Blackwell Cons ISD,Abilene,14
Aspermont ISD,217901,217-901,217901,4800006,Aspermont ISD,Abilene,14
Haskell Cons ISD,104901,104-901,104901,4822740,Haskell Cons ISD,Abilene,14
Rule ISD,104903,104-903,104903,4838280,Rule ISD,Abilene,14
Olfen ISD,200906,200-906,200906,4833570,Olfen ISD,San Angelo,15
Winters ISD,200904,200-904,200904,4846260,Winters ISD,San Angelo,15
Coleman ISD,42901,042-901,42901,4833210,Coleman ISD,San Angelo,15
Miles ISD,200902,200-902,200902,4830750,Miles ISD,San Angelo,15
Brookesmith ISD,25908,025-908,25908,4811550,Brookesmith ISD,San Angelo,15
Ballinger ISD,200901,200-901,200901,4809300,Ballinger ISD,San Angelo,15
Panther Creek Cons ISD,42905,042-905,42905,4800007,Panther Creek Cons ISD,San Angelo,15
Bronte ISD,41901,041-901,41901,4811490,Bronte ISD,San Angelo,15
Sterling City ISD,216901,216-901,216901,4841550,Sterling City ISD,San Angelo,15
Irion County ISD,118902,118-902,118902,4830360,Irion County ISD,San Angelo,15
Early ISD,25909,025-909,25909,4817790,Early ISD,San Angelo,15
Brownwood ISD,25902,025-902,25902,4811700,Brownwood ISD,San Angelo,15
Paint Rock ISD,48903,048-903,48903,4833980,Paint Rock ISD,San Angelo,15
Junction ISD,134901,134-901,134901,4825020,Junction ISD,San Angelo,15
San Felipe-Del Rio Cons ISD,233901,233-901,233901,4838900,San Felipe-Del Rio Cons ISD,San Angelo,15
Comstock ISD,233903,233-903,233903,4814920,Comstock ISD,San Angelo,15
Rochelle ISD,160904,160-904,160904,4837500,Rochelle ISD,San Angelo,15
Lohn ISD,160905,160-905,160905,4827930,Lohn ISD,San Angelo,15
Brady ISD,160901,160-901,160901,4811110,Brady ISD,San Angelo,15
Sonora ISD,218901,218-901,218901,4840800,Sonora ISD,San Angelo,15
Zephyr ISD,25906,025-906,25906,4846770,Zephyr ISD,San Angelo,15
May ISD,25905,025-905,25905,4829520,May ISD,San Angelo,15
Schleicher ISD,207901,207-901,207901,4839510,Schleicher ISD,San Angelo,15
Blanket ISD,25904,025-904,25904,4810380,Blanket ISD,San Angelo,15
Water Valley ISD,226905,226-905,226905,4844710,Water Valley ISD,San Angelo,15
Robert Lee ISD,41902,041-902,41902,4837380,Robert Lee ISD,San Angelo,15
Santa Anna ISD,42903,042-903,42903,4839210,Santa Anna ISD,San Angelo,15
Bangs ISD,25901,025-901,25901,4809390,Bangs ISD,San Angelo,15
Menard ISD,164901,164-901,164901,4830210,Menard ISD,San Angelo,15
San Saba ISD,206901,206-901,206901,4839030,San Saba ISD,San Angelo,15
Mason ISD,157901,157-901,157901,4829280,Mason ISD,San Angelo,15
Eden Cons ISD,48901,048-901,48901,4818070,Eden Cons ISD,San Angelo,15
Richland Springs ISD,206902,206-902,206902,4837080,Richland Springs ISD,San Angelo,15
Rocksprings ISD,69901,069-901,69901,4800003,Rocksprings ISD,San Angelo,15
Cherokee ISD,206903,206-903,206903,4813740,Cherokee ISD,San Angelo,15
Wall ISD,226906,226-906,226906,4844410,Wall ISD,San Angelo,15
Veribest ISD,226908,226-908,226908,4844040,Veribest ISD,San Angelo,15
Nueces Canyon Cons ISD,69902,069-902,69902,4833240,Nueces Canyon Cons ISD,San Angelo,15
San Angelo ISD,226903,226-903,226903,4838700,San Angelo ISD,San Angelo,15
Grape Creek ISD,226907,226-907,226907,4821600,Grape Creek ISD,San Angelo,15
Christoval ISD,226901,226-901,226901,4814010,Christoval ISD,San Angelo,15
Crockett County Cons CSD,53001,053-001,53001,4815690,Crockett County Cons CSD,San Angelo,15
Tulia ISD,219903,219-903,219903,4843320,Tulia ISD,Amarillo,16
Memphis ISD,96904,096-904,96904,4830180,Memphis ISD,Amarillo,16
Silverton ISD,23902,023-902,23902,4840290,Silverton ISD,Amarillo,16
Nazareth ISD,35903,035-903,35903,4832220,Nazareth ISD,Amarillo,16
Hart ISD,35902,035-902,35902,4822650,Hart ISD,Amarillo,16
Dimmitt ISD,35901,035-901,35901,4817160,Dimmitt ISD,Amarillo,16
Canadian ISD,106901,106-901,106901,4812700,Canadian ISD,Amarillo,16
Booker ISD,148901,148-901,148901,4810830,Booker ISD,Amarillo,16
Claude ISD,6902,006-902,6902,4814250,Claude ISD,Amarillo,16
Hartley ISD,103902,103-902,103902,4822680,Hartley ISD,Amarillo,16
Channing ISD,103901,103-901,103901,4813620,Channing ISD,Amarillo,16
Groom ISD,33901,033-901,33901,4821840,Groom ISD,Amarillo,16
Dalhart ISD,56901,056-901,56901,4816200,Dalhart ISD,Amarillo,16
Clarendon ISD,65901,065-901,65901,4814160,Clarendon ISD,Amarillo,16
Happy ISD,219901,219-901,219901,4822350,Happy ISD,Amarillo,16
Boys Ranch ISD,180901,180-901,180901,4811040,Boys Ranch ISD,Amarillo,16
Vega ISD,180902,180-902,180902,4843980,Vega ISD,Amarillo,16
Panhandle ISD,33902,033-902,33902,4834230,Panhandle ISD,Amarillo,16
Adrian ISD,180903,180-903,180903,4807500,Adrian ISD,Amarillo,16
Sanford-Fritch ISD,117903,117-903,117903,4839150,Sanford-Fritch ISD,Amarillo,16
Walcott ISD,59902,059-902,59902,4844370,Walcott ISD,Amarillo,16
Pringle-Morse Cons ISD,98903,098-903,98903,4835890,Pringle-Morse Cons ISD,Amarillo,16
Plemons-Stinnett-Phillips Cons ISD,117904,117-904,117904,4841580,Plemons-Stinnett-Phillips Cons ISD,Amarillo,16
Spring Creek ISD,117907,117-907,117907,4841130,Spring Creek ISD,Amarillo,16
Borger ISD,117901,117-901,117901,4810890,Borger ISD,Amarillo,16
Spearman ISD,98904,098-904,98904,4841010,Spearman ISD,Amarillo,16
Kress ISD,219905,219-905,219905,4825950,Kress ISD,Amarillo,16
Higgins ISD,148903,148-903,148903,4823140,Higgins ISD,Amarillo,16
Follett ISD,148902,148-902,148902,4819500,Follett ISD,Amarillo,16
Darrouzett ISD,148905,148-905,148905,4816320,Darrouzett ISD,Amarillo,16
Texhoma ISD,211901,211-901,211901,4842540,Texhoma ISD,Amarillo,16
Gruver ISD,98901,098-901,98901,4821930,Gruver ISD,Amarillo,16
Hedley ISD,65902,065-902,65902,4822850,Hedley ISD,Amarillo,16
Lazbuddie ISD,185904,185-904,185904,4826970,Lazbuddie ISD,Amarillo,16
Hereford ISD,59901,059-901,59901,4823010,Hereford ISD,Amarillo,16
Stratford ISD,211902,211-902,211902,4841670,Stratford ISD,Amarillo,16
Perryton ISD,179901,179-901,179901,4834650,Perryton ISD,Amarillo,16
Friona ISD,185903,185-903,185903,4819980,Friona ISD,Amarillo,16
Bovina ISD,185901,185-901,185901,4810950,Bovina ISD,Amarillo,16
Turkey-Quitaque ISD,96905,096-905,96905,4843400,Turkey-Quitaque ISD,Amarillo,16
Farwell ISD,185902,185-902,185902,4819110,Farwell ISD,Amarillo,16
White Deer ISD,33904,033-904,33904,4845450,White Deer ISD,Amarillo,16
Wheeler ISD,242903,242-903,242903,4845420,Wheeler ISD,Amarillo,16
Pampa ISD,90904,090-904,90904,4834170,Pampa ISD,Amarillo,16
Miami ISD,197902,197-902,197902,4830480,Miami ISD,Amarillo,16
Lefors ISD,90902,090-902,90902,4827090,Lefors ISD,Amarillo,16
Grandview-Hopkins ISD,90905,090-905,90905,4821560,Grandview-Hopkins ISD,Amarillo,16
Fort Elliott Cons ISD,242906,242-906,242906,4811400,Fort Elliott Cons ISD,Amarillo,16
Wellington ISD,44902,044-902,44902,4844890,Wellington ISD,Amarillo,16
McLean ISD,90903,090-903,90903,4829880,McLean ISD,Amarillo,16
Childress ISD,38901,038-901,38901,4813860,Childress ISD,Amarillo,16
Bushland ISD,188904,188-904,188904,4835570,Bushland ISD,Amarillo,16
River Road ISD,188902,188-902,188902,4837260,River Road ISD,Amarillo,16
Highland Park ISD (Potter),188903,188-903,188903,4835560,Highland Park ISD (Potter),Amarillo,16
Amarillo ISD,188901,188-901,188901,4808130,Amarillo ISD,Amarillo,16
Sunray ISD,171902,171-902,171902,4841910,Sunray ISD,Amarillo,16
Wildorado ISD,180904,180-904,180904,4845840,Wildorado ISD,Amarillo,16
Canyon ISD,191901,191-901,191901,4812810,Canyon ISD,Amarillo,16
Dumas ISD,171901,171-901,171901,4817610,Dumas ISD,Amarillo,16
Texline ISD,56902,056-902,56902,4842570,Texline ISD,Amarillo,16
Kelton ISD,242905,242-905,242905,4825290,Kelton ISD,Amarillo,16
Shamrock ISD,242902,242-902,242902,4839900,Shamrock ISD,Amarillo,16
Patton Springs ISD,63906,063-906,63906,4834380,Patton Springs ISD,Lubbock,17
Spur ISD,63903,063-903,63903,4800002,Spur ISD,Lubbock,17
Ropes ISD,110905,110-905,110905,4837830,Ropes ISD,Lubbock,17
Meadow ISD,223902,223-902,223902,4830000,Meadow ISD,Lubbock,17
Springlake-Earth ISD,140907,140-907,140907,4841250,Springlake-Earth ISD,Lubbock,17
Wellman-Union Cons ISD,223904,223-904,223904,4844910,Wellman-Union Cons ISD,Lubbock,17
Wilson ISD,153907,153-907,153907,4845990,Wilson ISD,Lubbock,17
Post ISD,85902,085-902,85902,4835490,Post ISD,Lubbock,17
New Home ISD,153905,153-905,153905,4832490,New Home ISD,Lubbock,17
Slaton ISD,152903,152-903,152903,4840440,Slaton ISD,Lubbock,17
Loop ISD,83902,083-902,83902,4828140,Loop ISD,Lubbock,17
Tahoka ISD,153904,153-904,153904,4842090,Tahoka ISD,Lubbock,17
Southland ISD,85903,085-903,85903,4840890,Southland ISD,Lubbock,17
Seminole ISD,83903,083-903,83903,4839750,Seminole ISD,Lubbock,17
O'Donnell ISD,153903,153-903,153903,4833390,O'Donnell ISD,Lubbock,17
Dawson ISD (Dawson),58902,058-902,58902,4816350,Dawson ISD (Dawson),Lubbock,17
Guthrie CSD,135001,135-001,135001,4822020,Guthrie CSD,Lubbock,17
Olton ISD,140905,140-905,140905,4833660,Olton ISD,Lubbock,17
Lubbock ISD,152901,152-901,152901,4828500,Lubbock ISD,Lubbock,17
Hale Center ISD,95903,095-903,95903,4822050,Hale Center ISD,Lubbock,17
Idalou ISD,152910,152-910,152910,4824120,Idalou ISD,Lubbock,17
Cotton Center ISD,95902,095-902,95902,4815360,Cotton Center ISD,Lubbock,17
Frenship ISD,152907,152-907,152907,4819830,Frenship ISD,Lubbock,17
Abernathy ISD,95901,095-901,95901,4807410,Abernathy ISD,Lubbock,17
Lubbock-Cooper ISD,152906,152-906,152906,4815180,Lubbock-Cooper ISD,Lubbock,17
Lamesa ISD,58906,058-906,58906,4826610,Lamesa ISD,Lubbock,17
Klondike ISD,58905,058-905,58905,4825790,Klondike ISD,Lubbock,17
Shallowater ISD,152909,152-909,152909,4839870,Shallowater ISD,Lubbock,17
Roosevelt ISD,152908,152-908,152908,4837800,Roosevelt ISD,Lubbock,17
New Deal ISD,152902,152-902,152902,4832430,New Deal ISD,Lubbock,17
Whiteface Cons ISD,40902,040-902,40902,4845570,Whiteface Cons ISD,Lubbock,17
Morton ISD,40901,040-901,40901,4831470,Morton ISD,Lubbock,17
Ralls ISD,54903,054-903,54903,4836390,Ralls ISD,Lubbock,17
Paducah ISD,51901,051-901,51901,4833900,Paducah ISD,Lubbock,17
Lorenzo ISD,54902,054-902,54902,4828230,Lorenzo ISD,Lubbock,17
Crosbyton Cons ISD,54901,054-901,54901,4800001,Crosbyton Cons ISD,Lubbock,17
Jayton-Girard ISD,132902,132-902,132902,4824660,Jayton-Girard ISD,Lubbock,17
